Id;Measure;RegioS;Value;StringValue;ValueAttribute
0;WP0001;WP1925;;WP1925    ;None
1;GM000C;WP1925;;Almelo                             ;None
2;GM000B;WP1925;;GM0141    ;None
3;PV0002;WP1925;;Overijssel               ;None
4;PV0001;WP1925;;PV23      ;None
5;LD0002;WP1925;;Oost-Nederland           ;None
6;LD0001;WP1925;;LD02      ;None
7;WP0001;WP2774;;WP2774    ;None
8;GM000C;WP2774;;Veere                              ;None
9;GM000B;WP2774;;GM0717    ;None
10;PV0002;WP2774;;Zeeland                  ;None
11;PV0001;WP2774;;PV29      ;None
12;LD0002;WP2774;;West-Nederland           ;None
13;LD0001;WP2774;;LD03      ;None
14;WP0001;WP2145;;WP2145    ;None
15;GM000C;WP2145;;Coevorden                          ;None
16;GM000B;WP2145;;GM0109    ;None
17;PV0002;WP2145;;Drenthe                  ;None
18;PV0001;WP2145;;PV22      ;None
19;LD0002;WP2145;;Noord-Nederland          ;None
20;LD0001;WP2145;;LD01      ;None
21;WP0001;WP2571;;WP2571    ;None
22;GM000C;WP2571;;Aalsmeer                           ;None
23;GM000B;WP2571;;GM0358    ;None
24;PV0002;WP2571;;Noord-Holland            ;None
25;PV0001;WP2571;;PV27      ;None
26;LD0002;WP2571;;West-Nederland           ;None
27;LD0001;WP2571;;LD03      ;None
28;WP0001;WP1600;;WP1600    ;None
29;GM000C;WP1600;;Haarlemmermeer                     ;None
30;GM000B;WP1600;;GM0394    ;None
31;PV0002;WP1600;;Noord-Holland            ;None
32;PV0001;WP1600;;PV27      ;None
33;LD0002;WP1600;;West-Nederland           ;None
34;LD0001;WP1600;;LD03      ;None
35;WP0001;WP2626;;WP2626    ;None
36;GM000C;WP2626;;Zaltbommel                         ;None
37;GM000B;WP2626;;GM0297    ;None
38;PV0002;WP2626;;Gelderland               ;None
39;PV0001;WP2626;;PV25      ;None
40;LD0002;WP2626;;Oost-Nederland           ;None
41;LD0001;WP2626;;LD02      ;None
42;WP0001;WP3387;;WP3387    ;None
43;GM000C;WP3387;;Noardeast-Fryslân                  ;None
44;GM000B;WP3387;;GM1970    ;None
45;PV0002;WP3387;;Fryslân                  ;None
46;PV0001;WP3387;;PV21      ;None
47;LD0002;WP3387;;Noord-Nederland          ;None
48;LD0001;WP3387;;LD01      ;None
49;WP0001;WP1193;;WP1193    ;None
50;GM000C;WP1193;;Aalten                             ;None
51;GM000B;WP1193;;GM0197    ;None
52;PV0002;WP1193;;Gelderland               ;None
53;PV0001;WP1193;;PV25      ;None
54;LD0002;WP1193;;Oost-Nederland           ;None
55;LD0001;WP1193;;LD02      ;None
56;WP0001;WP2673;;WP2673    ;None
57;GM000C;WP2673;;Nieuwkoop                          ;None
58;GM000B;WP2673;;GM0569    ;None
59;PV0002;WP2673;;Zuid-Holland             ;None
60;PV0001;WP2673;;PV28      ;None
61;LD0002;WP2673;;West-Nederland           ;None
62;LD0001;WP2673;;LD03      ;None
63;WP0001;WP2394;;WP2394    ;None
64;GM000C;WP2394;;Assen                              ;None
65;GM000B;WP2394;;GM0106    ;None
66;PV0002;WP2394;;Drenthe                  ;None
67;PV0001;WP2394;;PV22      ;None
68;LD0002;WP2394;;Noord-Nederland          ;None
69;LD0001;WP2394;;LD01      ;None
70;WP0001;WP2961;;WP2961    ;None
71;GM000C;WP2961;;Sluis                              ;None
72;GM000B;WP2961;;GM1714    ;None
73;PV0002;WP2961;;Zeeland                  ;None
74;PV0001;WP2961;;PV29      ;None
75;LD0002;WP2961;;West-Nederland           ;None
76;LD0001;WP2961;;LD03      ;None
77;WP0001;WP1079;;WP1079    ;None
78;GM000C;WP1079;;Alphen aan den Rijn                ;None
79;GM000B;WP1079;;GM0484    ;None
80;PV0002;WP1079;;Zuid-Holland             ;None
81;PV0001;WP1079;;PV28      ;None
82;LD0002;WP1079;;West-Nederland           ;None
83;LD0001;WP1079;;LD03      ;None
84;WP0001;WP1445;;WP1445    ;None
85;GM000C;WP1445;;Laarbeek                           ;None
86;GM000B;WP1445;;GM1659    ;None
87;PV0002;WP1445;;Noord-Brabant            ;None
88;PV0001;WP1445;;PV30      ;None
89;LD0002;WP1445;;Zuid-Nederland           ;None
90;LD0001;WP1445;;LD04      ;None
91;WP0001;WP2788;;WP2788    ;None
92;GM000C;WP2788;;Opmeer                             ;None
93;GM000B;WP2788;;GM0432    ;None
94;PV0002;WP2788;;Noord-Holland            ;None
95;PV0001;WP2788;;PV27      ;None
96;LD0002;WP2788;;West-Nederland           ;None
97;LD0001;WP2788;;LD03      ;None
98;WP0001;WP2400;;WP2400    ;None
99;GM000C;WP2400;;Súdwest-Fryslân                    ;None
100;GM000B;WP2400;;GM1900    ;None
101;PV0002;WP2400;;Fryslân                  ;None
102;PV0001;WP2400;;PV21      ;None
103;LD0002;WP2400;;Noord-Nederland          ;None
104;LD0001;WP2400;;LD01      ;None
105;WP0001;WP3147;;WP3147    ;None
106;GM000C;WP3147;;Medemblik                          ;None
107;GM000B;WP3147;;GM0420    ;None
108;PV0002;WP3147;;Noord-Holland            ;None
109;PV0001;WP3147;;PV27      ;None
110;LD0002;WP3147;;West-Nederland           ;None
111;LD0001;WP3147;;LD03      ;None
112;WP0001;WP1385;;WP1385    ;None
113;GM000C;WP1385;;Nissewaard                         ;None
114;GM000B;WP1385;;GM1930    ;None
115;PV0002;WP1385;;Zuid-Holland             ;None
116;PV0001;WP1385;;PV28      ;None
117;LD0002;WP1385;;West-Nederland           ;None
118;LD0001;WP1385;;LD03      ;None
119;WP0001;WP1608;;WP1608    ;None
120;GM000C;WP1608;;Haarlemmermeer                     ;None
121;GM000B;WP1608;;GM0394    ;None
122;PV0002;WP1608;;Noord-Holland            ;None
123;PV0001;WP1608;;PV27      ;None
124;LD0002;WP1608;;West-Nederland           ;None
125;LD0001;WP1608;;LD03      ;None
126;WP0001;WP1332;;WP1332    ;None
127;GM000C;WP1332;;De Ronde Venen                     ;None
128;GM000B;WP1332;;GM0736    ;None
129;PV0002;WP1332;;Utrecht                  ;None
130;PV0001;WP1332;;PV26      ;None
131;LD0002;WP1332;;West-Nederland           ;None
132;LD0001;WP1332;;LD03      ;None
133;WP0001;WP1364;;WP1364    ;None
134;GM000C;WP1364;;Waadhoeke                          ;None
135;GM000B;WP1364;;GM1949    ;None
136;PV0002;WP1364;;Fryslân                  ;None
137;PV0001;WP1364;;PV21      ;None
138;LD0002;WP1364;;Noord-Nederland          ;None
139;LD0001;WP1364;;LD01      ;None
140;WP0001;WP1063;;WP1063    ;None
141;GM000C;WP1063;;Barneveld                          ;None
142;GM000B;WP1063;;GM0203    ;None
143;PV0002;WP1063;;Gelderland               ;None
144;PV0001;WP1063;;PV25      ;None
145;LD0002;WP1063;;Oost-Nederland           ;None
146;LD0001;WP1063;;LD02      ;None
147;WP0001;WP2640;;WP2640    ;None
148;GM000C;WP2640;;Leusden                            ;None
149;GM000B;WP2640;;GM0327    ;None
150;PV0002;WP2640;;Utrecht                  ;None
151;PV0001;WP2640;;PV26      ;None
152;LD0002;WP2640;;West-Nederland           ;None
153;LD0001;WP2640;;LD03      ;None
154;WP0001;WP2131;;WP2131    ;None
155;GM000C;WP2131;;Goeree-Overflakkee                 ;None
156;GM000B;WP2131;;GM1924    ;None
157;PV0002;WP2131;;Zuid-Holland             ;None
158;PV0001;WP2131;;PV28      ;None
159;LD0002;WP2131;;West-Nederland           ;None
160;LD0001;WP2131;;LD03      ;None
161;WP0001;WP3493;;WP3493    ;None
162;GM000C;WP3493;;Zundert                            ;None
163;GM000B;WP3493;;GM0879    ;None
164;PV0002;WP3493;;Noord-Brabant            ;None
165;PV0001;WP3493;;PV30      ;None
166;LD0002;WP3493;;Zuid-Nederland           ;None
167;LD0001;WP3493;;LD04      ;None
168;WP0001;WP3527;;WP3527    ;None
169;GM000C;WP3527;;West Betuwe                        ;None
170;GM000B;WP3527;;GM1960    ;None
171;PV0002;WP3527;;Gelderland               ;None
