Identifier;DimensionGroupId;DimensionId;Index;Title;Description
WP1925;1;RegioS;1;Aadorp;
WP2774;1;RegioS;2;Aagtekerke;
WP2145;1;RegioS;3;Aalden;
WP2571;1;RegioS;4;Aalsmeer;
WP1600;1;RegioS;5;Aalsmeerderbrug;
WP2626;1;RegioS;6;Aalst;
WP3387;1;RegioS;7;Aalsum;
WP1193;1;RegioS;8;Aalten;
WP2673;1;RegioS;9;Ter Aar;
WP2394;1;RegioS;10;Ter Aard;
WP2961;1;RegioS;11;Aardenburg;
WP1079;1;RegioS;12;Aarlanderveen;
WP1445;1;RegioS;13;Aarle-Rixtel;
WP2788;1;RegioS;14;Aartswoud;
WP2400;1;RegioS;15;Abbega;
WP3147;1;RegioS;16;Abbekerk;
WP1385;1;RegioS;17;Abbenbroek;
WP1608;1;RegioS;18;Abbenes;
WP1332;1;RegioS;19;Abcoude;
WP1364;1;RegioS;20;Achlum;
WP1063;1;RegioS;21;Achterveld;
WP2640;1;RegioS;22;Achterveld;
WP2131;1;RegioS;23;Achthuizen;
WP3493;1;RegioS;24;Achtmaal;
WP3527;1;RegioS;25;Acquoy;
WP2464;1;RegioS;26;Adorp;
WP2114;1;RegioS;27;Aduard;
WP2652;1;RegioS;28;Aerdenhout;
WP2976;1;RegioS;29;Aerdt;
WP2902;1;RegioS;30;Afferden;
WP1122;1;RegioS;31;Afferden L;
WP1407;1;RegioS;32;Agelo;
WP2267;1;RegioS;33;Akersloot;
WP2525;1;RegioS;34;Akkrum;
WP2484;1;RegioS;35;Akmarijp;
WP1283;1;RegioS;36;Albergen;
WP2386;1;RegioS;37;Alblasserdam;
WP3224;1;RegioS;38;Alde Leie;
WP2532;1;RegioS;39;Aldeboarn;
WP2441;1;RegioS;40;Aldtsjerk;
WP3313;1;RegioS;41;Aldwâld;
WP1623;1;RegioS;42;Alem;
WP2348;1;RegioS;43;Alkmaar;
WP2301;1;RegioS;44;Allingawier;
WP1924;1;RegioS;45;Almelo;
WP1334;1;RegioS;46;Almen;
WP1270;1;RegioS;47;Almere;
WP3300;1;RegioS;48;Almkerk;
WP1766;1;RegioS;49;Alphen;
WP3432;1;RegioS;50;Alphen;
WP1080;1;RegioS;51;Alphen aan den Rijn;
WP1633;1;RegioS;52;Alteveer;
WP3079;1;RegioS;53;Alteveer;
WP3160;1;RegioS;54;Alteveer;
WP1810;1;RegioS;55;Alteveer gem Hoogeveen;
WP1767;1;RegioS;56;Altforst;
WP1438;1;RegioS;57;Ambt Delden;
WP2106;1;RegioS;58;Ameide;
WP1147;1;RegioS;59;Amen;
WP1026;1;RegioS;60;America;
WP3337;1;RegioS;61;Amerongen;
WP1664;1;RegioS;62;Amersfoort;
WP2367;1;RegioS;63;Ammerstol;
WP1624;1;RegioS;64;Ammerzoden;
WP3547;1;RegioS;65;Amstelhoek;
WP1050;1;RegioS;66;Amstelveen;
WP2099;1;RegioS;67;Amstenrade;
WP3594;1;RegioS;68;Amsterdam;
WP3569;1;RegioS;69;Amsterdam-Duivendrecht;
WP3301;1;RegioS;70;Andel;
WP2466;1;RegioS;71;Den Andel;
WP1862;1;RegioS;72;Andelst;
WP1148;1;RegioS;73;Anderen;
WP1053;1;RegioS;74;Andijk;
WP1537;1;RegioS;75;Ane;
WP1538;1;RegioS;76;Anerveen;
WP1539;1;RegioS;77;Anevelde;
WP3133;1;RegioS;78;Angeren;
WP1299;1;RegioS;79;Angerlo;
WP2999;1;RegioS;80;Ankeveen;
WP1149;1;RegioS;81;Anloo;
WP3185;1;RegioS;82;Anna Paulowna;
WP1150;1;RegioS;83;Annen;
WP1151;1;RegioS;84;Annerveenschekanaal;
WP3104;1;RegioS;85;Ansen;
WP3161;1;RegioS;86;Ansen;
WP2296;1;RegioS;87;Ter Apel;
WP3560;1;RegioS;88;Apeldoorn;
WP2297;1;RegioS;89;Ter Apelkanaal;
WP1753;1;RegioS;90;Appelscha;
WP1768;1;RegioS;91;Appeltern;
WP3386;1;RegioS;92;Appingedam;
WP3140;1;RegioS;93;Arcen;
WP1432;1;RegioS;94;Arkel;
WP1008;1;RegioS;95;Arnemuiden;
WP1296;1;RegioS;96;Arnhem;
WP3630;1;RegioS;97;Arriën;
WP2302;1;RegioS;98;Arum;
WP3370;1;RegioS;99;Asch;
WP2353;1;RegioS;100;Asperen;
WP2391;1;RegioS;101;Assen;
WP1878;1;RegioS;102;Assendelft;
WP2928;1;RegioS;103;Asten;
WP3307;1;RegioS;104;Augsbuert-Lytsewâld;
WP3173;1;RegioS;105;Augustinusga;
WP2824;1;RegioS;106;Austerlitz;
WP1183;1;RegioS;107;Avenhorn;
WP1128;1;RegioS;108;Axel;
WP2202;1;RegioS;109;Azewijn;
WP2621;2;RegioS;110;Baaiduinen;
WP2008;2;RegioS;111;Baaium;
WP1527;2;RegioS;112;Baak;
WP1333;2;RegioS;113;Baambrugge;
WP2009;2;RegioS;114;Baard;
WP1251;2;RegioS;115;Baarland;
WP2883;2;RegioS;116;Baarle-Nassau;
WP2602;2;RegioS;117;Baarlo;
WP2691;2;RegioS;118;Baarlo;
WP1092;2;RegioS;119;Baarn;
WP2692;2;RegioS;120;Baars;
WP1298;2;RegioS;121;Babberich;
WP1951;2;RegioS;122;Babyloniënbroek;
WP1420;2;RegioS;123;Bad Nieuweschans;
